WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((6.02176571585797 45.2422475548849))",PAIHYDRO0000000007458191,Détail hydrographique,Source,source de la fontaine du lac
"MULTIPOINT ((5.99004746256058 45.2355716032075))",PAIHYDRO0000000007458193,Détail hydrographique,Source,source de la fontaine blanche
"MULTIPOINT ((5.99811033017433 45.2433336216148))",PAIHYDRO0000000007458194,Détail hydrographique,Source,source de bédina
"MULTIPOINT ((5.97400666545406 45.2357168844974))",PAIHYDRO0000000007458196,Détail hydrographique,Source,source pillon et plançon
"MULTIPOINT ((6.03685667210281 45.221345712049))",PAIHYDRO0000000007458222,Détail hydrographique,Source,fontaine rapapan
"MULTIPOINT ((5.77631416312736 45.2328437594115))",PAIHYDRO0000000007458228,Détail hydrographique,Fontaine,fontaine ardente
"MULTIPOINT ((5.6248539487664 45.2330834992312))",PAIHYDRO0000000007458231,Détail hydrographique,Source,source de la thouvière
"MULTIPOINT ((5.99184902610024 45.2199222106724))",PAIHYDRO0000000007458251,Détail hydrographique,Cascade,cascade des avoux
"MULTIPOINT ((5.90238247942373 45.2143496005256))",PAIHYDRO0000000007458258,Détail hydrographique,Source captée,source captée de fontaine froide
"MULTIPOINT ((5.62398874654223 45.2309001671248))",PAIHYDRO0000000007458264,Détail hydrographique,Source,source des enginaux
"MULTIPOINT ((5.59186501230665 45.231579846883))",PAIHYDRO0000000007458265,Détail hydrographique,Fontaine,fontaine de la sure
"MULTIPOINT ((5.54172016334732 45.2294897060541))",PAIHYDRO0000000007458268,Détail hydrographique,Fontaine,fontaine de nave
"MULTIPOINT ((5.53240927315672 45.223674230242))",PAIHYDRO0000000007458269,Détail hydrographique,Fontaine,fontaine des sangliers
"MULTIPOINT ((5.81878449014869 45.1785349545171))",PAIHYDRO0000000007458338,Détail hydrographique,Fontaine,fontaine bénite
"MULTIPOINT ((6.14652409638465 45.1875293800047))",PAIHYDRO0000000007458273,Détail hydrographique,Source,source des demoiselles
"MULTIPOINT ((5.93138923916908 45.1932229569627))",PAIHYDRO0000000007458280,Détail hydrographique,Fontaine,fontaine du clos
"MULTIPOINT ((5.58705445083617 45.2122011272282))",PAIHYDRO0000000007458286,Détail hydrographique,Fontaine,fontaine de plénouze
"MULTIPOINT ((5.559258052826 45.2171514926966))",PAIHYDRO0000000007458288,Détail hydrographique,Fontaine,fontaine du rafour
"MULTIPOINT ((5.5240901740831 45.2202968333897))",PAIHYDRO0000000007458289,Détail hydrographique,Fontaine,font froide
"MULTIPOINT ((5.96223924003823 45.1909398032357))",PAIHYDRO0000000007458298,Détail hydrographique,Cascade,cascades de boulon
"MULTIPOINT ((5.91505021715484 45.1780035470001))",PAIHYDRO0000000007458304,Détail hydrographique,Fontaine,fontaine du pré raymond
"MULTIPOINT ((5.89738964296895 45.187114193715))",PAIHYDRO0000000007458305,Détail hydrographique,Source captée,source captée de domène
"MULTIPOINT ((5.59212923266022 45.1964707494083))",PAIHYDRO0000000007458311,Détail hydrographique,Fontaine,fontaine de la molière
"MULTIPOINT ((5.58487643326876 45.1897290026672))",PAIHYDRO0000000007458312,Détail hydrographique,Fontaine,fontaine des feneys
"MULTIPOINT ((5.53376409694314 45.197623231998))",PAIHYDRO0000000007458314,Détail hydrographique,Source captée,font renard
"MULTIPOINT ((5.4409452061477 45.1997631639711))",PAIHYDRO0000000007458319,Détail hydrographique,Source,source du lavoir
"MULTIPOINT ((6.06435689039363 45.1583197494135))",PAIHYDRO0000000007458324,Détail hydrographique,Source,sources de pressus
"MULTIPOINT ((5.9179287795939 45.1729717513954))",PAIHYDRO0000000007458336,Détail hydrographique,Fontaine,fontaine des chèvres
"MULTIPOINT ((5.52613309698703 45.178709249261))",PAIHYDRO0000000007458343,Détail hydrographique,Source,source des plagneux
"MULTIPOINT ((5.89906928218719 45.1524587720249))",PAIHYDRO0000000007458361,Détail hydrographique,Source,source de la duy
"MULTIPOINT ((5.54500733258523 45.1617402686147))",PAIHYDRO0000000007458367,Détail hydrographique,Source,les trois fontaines
"MULTIPOINT ((5.43805845870147 45.1753637517561))",PAIHYDRO0000000007458370,Détail hydrographique,Point d'eau,pierre martin
"MULTIPOINT ((5.42131585999828 45.1670072415192))",PAIHYDRO0000000007458371,Détail hydrographique,Source,source de la vierge
"MULTIPOINT ((6.21047695943522 45.1375564511523))",PAIHYDRO0000000007458375,Détail hydrographique,Cascade,cascade de la pisse
"MULTIPOINT ((5.56567397576968 45.1507554042064))",PAIHYDRO0000000007458390,Détail hydrographique,Fontaine,fontaine des marcettes
"MULTIPOINT ((5.56750092965381 45.1553529331056))",PAIHYDRO0000000007458391,Détail hydrographique,Fontaine,fontaine de barbuisson
"MULTIPOINT ((5.4022545993156 45.1597432526019))",PAIHYDRO0000000007458394,Détail hydrographique,Fontaine,fontaine du riserdi
"MULTIPOINT ((6.01736766277528 45.1245879610416))",PAIHYDRO0000000007458409,Détail hydrographique,Source,l'écuelle
"MULTIPOINT ((5.61723999647042 45.1398475175731))",PAIHYDRO0000000007458419,Détail hydrographique,Source,source de la bergère
"MULTIPOINT ((5.6064253941693 45.1391404218121))",PAIHYDRO0000000007458420,Détail hydrographique,Fontaine,fontaine de la molasse
