c2c;BDTOPO
41274;PAIOROGR0000000075591309
41272;PAIOROGR0000000012527279
41271;PAIOROGR0000000007454577
41249;PAIOROGR0000000075591292
41242;PAIOROGR0000000075589582
41241;PAIOROGR0000000075591994
41230;PAIOROGR0000000075589941
41212;PAIOROGR0000000075591130
41190;PAIOROGR0000000075591777
41182;PAIOROGR0000000006685949
41175;PAIOROGR0000000007456120
41031;PAIOROGR0000000075591025
41020;PAIOROGR0000000075591279
41014;PAIOROGR0000000007456676
41007;PAIOROGR0000000007455324
40980;PAIOROGR0000000007456066
40978;PAIOROGR0000000007454158
40976;PAIOROGR0000000007454905
40960;PAIOROGR0000000007455160
40932;PAIOROGR0000000006686691
40871;PAIOROGR0000000075591964
40868;PAIOROGR0000000007454825
40844;PAIOROGR0000000075590314
40781;PAIOROGR0000000007455052
40742;PAIOROGR0000000075589702
40739;PAIOROGR0000000075589697
40734;PAIOROGR0000000007454907
40733;PAIOROGR0000000006687201
40717;PAIOROGR0000000012528624
40692;PAIOROGR0000000007454575
278426;PAIOROGR0000000006686002
40688;PAIOROGR0000000075591385
40687;PAIOROGR0000000007457037
40663;PAIOROGR0000000007456061
40656;PAIOROGR0000000007456649
40646;PAIOROGR0000000007456445
40644;PAIOROGR0000000012528552
40630;PAIOROGR0000000007456031
40629;PAIOROGR0000000075590390
40619;PAIOROGR0000000075590599
40614;PAIOROGR0000000007454149
40608;PAIOROGR0000000007456030
40606;PAIOROGR0000000012527729
40605;PAIOROGR0000000007456450
40599;PAIOROGR0000000007456240
40589;PAIOROGR0000000007457356
40582;PAIOROGR0000000007455848
40578;PAIOROGR0000000075591086
40575;PAIOROGR0000000007455808
40573;PAIOROGR0000000007455150
40557;PAIOROGR0000000075590183
40549;PAIOROGR0000000007455915
40546;PAIOROGR0000000075590375
40545;PAIOROGR0000000007456648
40538;PAIOROGR0000000075590220
40535;PAIOROGR0000000007456549
40528;PAIOROGR0000000007456327
40524;PAIOROGR0000000007456533
40521;PAIOROGR0000000007455909
40512;PAIOROGR0000000012528540
40472;PAIOROGR0000000007454833
40421;PAIOROGR0000000007457358
40403;PAIOROGR0000000012528623
40341;PAIOROGR0000000007456062
40332;PAIOROGR0000000007456069
40328;PAIOROGR0000000007456662
40316;PAIOROGR0000000075590153
41819;PAIOROGR0000000007457486
40314;PAIOROGR0000000007456274
40295;PAIOROGR0000000075590741
40279;PAIOROGR0000000007457478
40273;PAIOROGR0000000007455393
40270;PAIOROGR0000000007455960
40257;PAIOROGR0000000075592020
40251;PAIOROGR0000000012527352
40230;PAIOROGR0000000075591996
40227;PAIOROGR0000000007454828
40222;PAIOROGR0000000075591571
40207;PAIOROGR0000000075591891
40206;PAIOROGR0000000075591691
40177;PAIOROGR0000000007454826
40168;PAIOROGR0000000007456980
40167;PAIOROGR0000000075592481
40151;PAIOROGR0000000007456978
40133;PAIOROGR0000000007457052
40096;PAIOROGR0000000007456196
40085;PAIOROGR0000000075592060
40084;PAIOROGR0000000075592063
40069;PAIOROGR0000000075591413
40042;PAIOROGR0000000012527723
40039;PAIOROGR0000000007454708
40035;PAIOROGR0000000075592262
40030;PAIOROGR0000000007454174
40019;PAIOROGR0000000075591102
39991;PAIOROGR0000000007455394
39984;PAIOROGR0000000006685243
39983;PAIOROGR0000000007454385
39966;PAIOROGR0000000075589427
39945;PAIOROGR0000000012528634
39913;PAIOROGR0000000007456894
39903;PAIOROGR0000000075592264
39900;PAIOROGR0000000075591013
39855;PAIOROGR0000000012528543
39830;PAIOROGR0000000075592135
39804;PAIOROGR0000000075589695
39789;PAIOROGR0000000007454527
39778;PAIOROGR0000002009067749
39775;PAIOROGR0000000075589446
39772;PAIOROGR0000000075589439
39763;PAIOROGR0000000007455134
39745;PAIOROGR0000000075590037
39742;PAIOROGR0000000356380224
39728;PAIOROGR0000000007456136
39706;PAIOROGR0000000007456037
39701;PAIOROGR0000000075589958
39696;PAIOROGR0000000075590096
39694;PAIOROGR0000000007456146
39692;PAIOROGR0000000075591553
39686;PAIOROGR0000000007455923
39683;PAIOROGR0000000075590419
39677;PAIOROGR0000000075589959
39664;PAIOROGR0000000007456019
44022;PAIOROGR0000000007454059
39662;PAIOROGR0000000007455993
39661;PAIOROGR0000000007455812
39645;PAIOROGR0000000007456264
39620;PAIOROGR0000000007454898
39619;PAIOROGR0000000075590572
39615;PAIOROGR0000000075590571
39572;PAIOROGR0000000007455675
39571;PAIOROGR0000000007454627
39526;PAIOROGR0000000075590093
39514;PAIOROGR0000000075589700
39501;PAIOROGR0000000075590057
39493;PAIOROGR0000000007454010
39372;PAIOROGR0000000012528511
39367;PAIOROGR0000000012528636
39335;PAIOROGR0000000007456677
39307;PAIOROGR0000000007456906
39303;PAIOROGR0000000007455739
39296;PAIOROGR0000000007457423
39284;PAIOROGR0000000075592131
39256;PAIOROGR0000000012528532
39215;PAIOROGR0000000007455999
39191;PAIOROGR0000000007454270
39170;PAIOROGR0000000075591284
39137;PAIOROGR0000000012527247
39115;PAIOROGR0000000007454397
39072;PAIOROGR0000000007454901
39067;PAIOROGR0000000007456531
39064;PAIOROGR0000000012528469
39056;PAIOROGR0000000356412699
39051;PAIOROGR0000000356600233
39040;PAIOROGR0000000006685172
39038;PAIOROGR0000000007454698
39017;PAIOROGR0000000075590165
39008;PAIOROGR0000000007453721
38988;PAIOROGR0000000075589742
38985;PAIOROGR0000000075590199
38981;PAIOROGR0000000075589924
38970;PAIOROGR0000000075590207
38662;PAIOROGR0000000075589946
38659;PAIOROGR0000000075590177
38658;PAIOROGR0000000075590384
38655;PAIOROGR0000000007456024
38654;PAIOROGR0000000075590226
38648;PAIOROGR0000000007456027
38646;PAIOROGR0000000007455799
38644;PAIOROGR0000000075590084
38640;PAIOROGR0000000075590203
38626;PAIOROGR0000000075590746
38618;PAIOROGR0000000007454514
38613;PAIOROGR0000000012528513
38591;PAIOROGR0000000075590086
38583;PAIOROGR0000000075589923
38569;PAIOROGR0000000075589970
38540;PAIOROGR0000000075589960
38521;PAIOROGR0000000075590225
38519;PAIOROGR0000000356600224
38501;PAIOROGR0000000007454831
38485;PAIOROGR0000002009067756
38473;PAIOROGR0000000075589954
38469;PAIOROGR0000000075590028
38468;PAIOROGR0000000075590341
38466;PAIOROGR0000000075591757
38440;PAIOROGR0000000007456861
38438;PAIOROGR0000000007456335
38434;PAIOROGR0000000007456038
38428;PAIOROGR0000000007456743
38418;PAIOROGR0000000075589724
38384;PAIOROGR0000000007454891
38329;PAIOROGR0000000012527347
38319;PAIOROGR0000000075592184
38314;PAIOROGR0000000007454983
38312;PAIOROGR0000000007456661
38303;PAIOROGR0000000075589706
38298;PAIOROGR0000000075589919
38297;PAIOROGR0000000012527356
38278;PAIOROGR0000000075591077
38269;PAIOROGR0000000075592461
38268;PAIOROGR0000000075592217
38267;PAIOROGR0000000012528463
38266;PAIOROGR0000000075592531
38265;PAIOROGR0000000007455743
38258;PAIOROGR0000000007456758
38256;PAIOROGR0000000012528421
38255;PAIOROGR0000000012527366
38233;PAIOROGR0000000075592462
38230;PAIOROGR0000000007454132
38203;PAIOROGR0000000007455853
38168;PAIOROGR0000000006686193
38133;PAIOROGR0000000007455216
38128;PAIOROGR0000000075592477
38125;PAIOROGR0000000012528268
38113;PAIOROGR0000000007456331
38107;PAIOROGR0000000007455074
38102;PAIOROGR0000000012528564
38096;PAIOROGR0000000075591600
38080;PAIOROGR0000000012528309
38077;PAIOROGR0000000075591338
38064;PAIOROGR0000000012528617
38059;PAIOROGR0000000075592232
38052;PAIOROGR0000000075592489
38042;PAIOROGR0000000075591809
38041;PAIOROGR0000000007455153
38038;PAIOROGR0000000075589510
38028;PAIOROGR0000000012528556
38021;PAIOROGR0000000075590078
38006;PAIOROGR0000000007456010
37995;PAIOROGR0000000075590364
37988;PAIOROGR0000000075590786
