WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((5.78258574285418 45.2503344416221))",PAIOROGR0000002205871456,Vallée,Combe Béroud
"MULTIPOINT ((5.87554307652877 45.2938541207331))",PAIOROGR0000002205871457,Vallée,Combe Reynaud
"MULTIPOINT ((5.60359386322153 45.2589499652438))",PAIOROGR0000002205871458,Vallée,Combe Clause
"MULTIPOINT ((5.74164864222031 45.0319010495368))",PAIOROGR0000002205871459,Vallée,Combe Chaude
"MULTIPOINT ((5.94317918790475 45.4502249461166))",PAIOROGR0000002205871460,Vallée,Combe Noire
"MULTIPOINT ((5.82495191743079 45.1102474509666))",PAIOROGR0000002205871462,Vallée,Combe Lose
"MULTIPOINT ((5.67932496910316 45.0140186528386))",PAIOROGR0000002205871463,Vallée,Combe Noire
"MULTIPOINT ((5.83767652378897 44.9092123503007))",PAIOROGR0000002205871464,Vallée,Combe Chave
"MULTIPOINT ((5.81202818408888 45.3703427431942))",PAIOROGR0000000007454090,Sommet,Grand Som
"MULTIPOINT ((6.09395634940932 45.081125040645))",PAIOROGR0000002205871465,Vallée,Combe Haute
"MULTIPOINT ((5.50643465351291 45.1840748140718))",PAIOROGR0000002205871466,Vallée,Combe de Feynier
"MULTIPOINT ((5.76619226806036 44.7582711013293))",PAIOROGR0000002205871467,Dépression,Creux du Col
"MULTIPOINT ((5.62580062912387 45.0583097856666))",PAIOROGR0000002205871468,Vallée,Combe Louve
"MULTIPOINT ((5.66105999989353 45.1879082032233))",PAIOROGR0000002205871469,Vallée,Combe Ailloud
"MULTIPOINT ((5.77271895528539 45.1444494355761))",PAIOROGR0000002205871470,Vallée,Combe et Verneys
"MULTIPOINT ((5.80644333499215 45.3833178734145))",PAIOROGR0000000007454026,Col,Pas du Loup
"MULTIPOINT ((5.50945387030192 44.8151161686122))",PAIOROGR0000002206389610,Gouffre,
"MULTIPOINT ((5.70216715012367 45.3756027647084))",PAIOROGR0000000007454106,Grotte,Grotte de Saint-Joseph
"MULTIPOINT ((5.7996869179172 45.3437864527951))",PAIOROGR0000000352111127,Grotte,Grotte de la Porte de l'Enclos
"MULTIPOINT ((6.08241692056917 45.2015616485836))",PAIOROGR0000000007454748,Gorge,Défilé du Maupas
"MULTIPOINT ((5.72775658404141 45.3723254003066))",PAIOROGR0000000007454105,Rochers,Rocher de la Fenêtre
"MULTIPOINT ((5.85510227186716 45.3080969197316))",PAIOROGR0000000007454335,Sommet,Dent de Crolles
"MULTIPOINT ((5.93344765127044 45.3663770526606))",PAIOROGR0000000007454075,Pic,Pierre Aiguille
"MULTIPOINT ((5.92937282118542 45.4104957032737))",PAIOROGR0000000007453887,Grotte,Trou de la Rousse
"MULTIPOINT ((5.69011969975415 45.2754072654492))",PAIOROGR0000000007454463,Col,Pas du Sappey
"MULTIPOINT ((5.78657445474632 45.3661757577019))",PAIOROGR0000002207127952,Grotte,
"MULTIPOINT ((5.76708754576608 45.2897482111766))",PAIOROGR0000000007454393,Col,Col de Porte
"MULTIPOINT ((5.57868734975036 44.8726409601024))",PAIOROGR0000000007456947,Rochers,Rochers du Veyre
"MULTIPOINT ((5.78808496746663 45.2875057294199))",PAIOROGR0000000007454390,Sommet,Chamechaude
"MULTIPOINT ((5.50868071808582 45.1505183892442))",PAIOROGR0000000007455105,Grotte,Scialet de Pertuson
"MULTIPOINT ((5.7997917367497 45.3443208337856))",PAIOROGR0000000007454165,Vallée,Porte de l'Enclos
"MULTIPOINT ((5.88950808724061 45.3071773524472))",PAIOROGR0000000007454329,Col,le Pal de Fer
"MULTIPOINT ((6.04163374622136 45.0802105640608))",PAIOROGR0000002207383342,Col,Pas de la Confession
"MULTIPOINT ((6.17506990235642 45.0869292434738))",PAIOROGR0000002207003069,Col,Col de Saint-Sébastien
"MULTIPOINT ((6.05300080648375 45.2812541760544))",PAIOROGR0000000007454373,Crête,Crêt du Bœuf
"MULTIPOINT ((5.56117706158125 44.8682810353527))",PAIOROGR0000000007456953,Gorge,Ravin de Mouna
"MULTIPOINT ((5.52239193460196 44.8535259337387))",PAIOROGR0000000007457040,Col,Pas du Fouillet
"MULTIPOINT ((5.43192568765418 45.0560016943009))",PAIOROGR0000000007455712,Cirque,Cirque du Bournillon
"MULTIPOINT ((5.72814979688437 45.3455439425134))",PAIOROGR0000000007454226,Escarpement,Pas de la Biche
"MULTIPOINT ((5.73671834162462 45.3291287476433))",PAIOROGR0000000007454280,Gorge,Pas de l'Âne
"MULTIPOINT ((5.85436878545537 45.3092572425171))",PAIOROGR0000000007454334,Escarpement,Pas de l'Œille
