WKT,ID,HAUTEUR
"MULTIPOINT ((6.03227412496179 45.3700167987447))",PYLONE__0000000269643447,0
"MULTIPOINT ((6.04651010115793 45.3728302439777))",PYLONE__0000000269643448,0
"MULTIPOINT ((6.08510492289851 45.3834189377627))",PYLONE__0000000269643449,0
"MULTIPOINT ((6.0867680057443 45.3815419968928))",PYLONE__0000000269643451,0
"MULTIPOINT ((6.02976284621673 45.4329647411611))",PYLONE__0000000269643452,0
"MULTIPOINT ((6.02983571308274 45.4327519091869))",PYLONE__0000000269643453,0
"MULTIPOINT ((6.07905605795891 45.3963482096472))",PYLONE__0000000269643463,0
"MULTIPOINT ((6.09990583434645 45.4305737915536))",PYLONE__0000000269643469,0
"MULTIPOINT ((6.10000277612773 45.4305449770831))",PYLONE__0000000269643470,0
"MULTIPOINT ((6.10010645861893 45.430522284162))",PYLONE__0000000269643471,0
"MULTIPOINT ((6.10018959444089 45.4304983571276))",PYLONE__0000000269643472,0
"MULTIPOINT ((6.09981661710279 45.4303969295634))",PYLONE__0000000269643473,0
"MULTIPOINT ((6.1001049128093 45.4303339860343))",PYLONE__0000000269643474,0
"MULTIPOINT ((5.94207033641031 45.2690465023165))",PYLONE__0000000269643488,0
"MULTIPOINT ((5.65135745781435 45.1798460820955))",PYLONE__0000000269643722,0
"MULTIPOINT ((5.75441316983475 45.1543675724995))",PYLONE__0000000269643739,0
"MULTIPOINT ((5.56268731142517 45.2796522961356))",PYLONE__0000000269643746,0
"MULTIPOINT ((5.63766448404457 45.2169083269671))",PYLONE__0000000269643749,0
"MULTIPOINT ((5.57745431693478 45.2707983139244))",PYLONE__0000000269643754,0
"MULTIPOINT ((5.59973557498749 45.2588785145766))",PYLONE__0000000269643756,0
"MULTIPOINT ((5.58432169426844 45.2671775480337))",PYLONE__0000000269643757,0
"MULTIPOINT ((5.66727090146983 45.2286723262908))",PYLONE__0000000269643766,0
"MULTIPOINT ((5.62763526527514 45.2933633246734))",PYLONE__0000000269643768,0
"MULTIPOINT ((5.62767551577232 45.2933236386911))",PYLONE__0000000269643769,0
"MULTIPOINT ((5.62771772200631 45.2932712936393))",PYLONE__0000000269643770,0
"MULTIPOINT ((5.62775750546812 45.2932217083065))",PYLONE__0000000269643771,0
"MULTIPOINT ((5.5902510512496 45.2844604664198))",PYLONE__0000000269643779,0
"MULTIPOINT ((5.61713815746877 45.1633779278244))",PYLONE__0000000269643943,0
"MULTIPOINT ((5.64027110807258 45.1798449326283))",PYLONE__0000000269643946,0
"MULTIPOINT ((6.20591626644819 45.0373774854912))",PYLONE__0000000309553091,0
"MULTIPOINT ((5.99971376327754 45.3797534405643))",PYLONE__0000000256641386,0
"MULTIPOINT ((6.02113933080172 45.3944801685232))",PYLONE__0000000269643432,60
"MULTIPOINT ((6.02617353267464 45.4452223240521))",PYLONE__0000000269643461,16
"MULTIPOINT ((6.08973370482687 45.3736067775208))",PYLONE__0000000269643484,0
"MULTIPOINT ((6.09270483176986 45.3738329459924))",PYLONE__0000000269643485,0
"MULTIPOINT ((6.09386568997283 45.368176855777))",PYLONE__0000000269643486,0
"MULTIPOINT ((5.94044826333936 45.2687765196454))",PYLONE__0000000269643487,0
"MULTIPOINT ((5.82781079932255 45.2018090606814))",PYLONE__0000000269643543,0
"MULTIPOINT ((5.92658379189379 45.2669976971409))",PYLONE__0000000269643547,0
"MULTIPOINT ((5.91735622486617 45.2663234674255))",PYLONE__0000000269643548,0
"MULTIPOINT ((5.91776304353876 45.2657587039889))",PYLONE__0000000269643549,0
"MULTIPOINT ((5.91758320672331 45.2655894965442))",PYLONE__0000000269643550,0
"MULTIPOINT ((6.04679239147252 45.1498405252905))",PYLONE__0000000269643580,0
"MULTIPOINT ((6.04671673476894 45.1498308779605))",PYLONE__0000000269643581,0
"MULTIPOINT ((6.04693999462804 45.1496517716719))",PYLONE__0000000269643582,0
"MULTIPOINT ((6.04701345175608 45.1496677864958))",PYLONE__0000000269643583,0
"MULTIPOINT ((5.98079376274654 45.1207665541126))",PYLONE__0000000269643585,0
"MULTIPOINT ((6.05108478782546 45.1451979552992))",PYLONE__0000000269643586,0
"MULTIPOINT ((6.02336927974925 45.1141505411822))",PYLONE__0000000269643589,0
"MULTIPOINT ((5.68493142790626 44.9639416448784))",PYLONE__0000000269643676,0
"MULTIPOINT ((5.79721733775855 44.9393131358033))",PYLONE__0000000269643712,0
"MULTIPOINT ((5.70074675216187 45.1480713384779))",PYLONE__0000000269643717,0
"MULTIPOINT ((5.65792933502824 45.1591126667246))",PYLONE__0000000269643718,0
"MULTIPOINT ((5.67195855649464 45.138813056684))",PYLONE__0000000269643719,28.6
"MULTIPOINT ((5.67008088315758 45.1467474080517))",PYLONE__0000000269643720,28.6
"MULTIPOINT ((5.69984946512004 45.1758653878317))",PYLONE__0000000269643728,0
"MULTIPOINT ((5.65951327587247 45.1791637287656))",PYLONE__0000000269643724,16.9
"MULTIPOINT ((5.64414589459202 45.1809153872124))",PYLONE__0000000269643725,20.1
"MULTIPOINT ((5.70024745686122 45.1794324974708))",PYLONE__0000000269643726,28.4
"MULTIPOINT ((5.69982640156811 45.1740451438791))",PYLONE__0000000269643727,34.4
"MULTIPOINT ((5.69997607901866 45.1793525726769))",PYLONE__0000000269643729,28.6
"MULTIPOINT ((5.6651772061782 45.2340315330371))",PYLONE__0000000269643761,0
"MULTIPOINT ((5.70592703118602 45.1052046159627))",PYLONE__0000000024798793,28.9
"MULTIPOINT ((5.48821551916085 45.0806988045367))",PYLONE__0000000269643935,0
"MULTIPOINT ((5.57081762260623 45.1307598606923))",PYLONE__0000000269643936,0
"MULTIPOINT ((5.57262412633972 45.1324857319191))",PYLONE__0000000269643937,0
"MULTIPOINT ((5.57505821409459 45.1349295070219))",PYLONE__0000000269643938,0
"MULTIPOINT ((5.56249241508765 45.1231994188664))",PYLONE__0000000269643933,26
"MULTIPOINT ((5.57619254431953 45.1360672531802))",PYLONE__0000000269643939,23
"MULTIPOINT ((6.00119580189824 45.3794947661357))",PYLONE__0000000269657411,0
"MULTIPOINT ((5.4876150024933 45.0806905938644))",PYLONE__0000000269643934,20.1
"MULTIPOINT ((5.35709718014582 45.1461015121927))",PYLONE__0000000269643958,26.8
"MULTIPOINT ((5.25144467046967 45.1068421664299))",PYLONE__0000000269643951,26.8
"MULTIPOINT ((5.35736187660447 45.1499910224275))",PYLONE__0000000269643956,27.1
"MULTIPOINT ((5.97181847973438 44.7875074763502))",PYLONE__0000000309551772,27
"MULTIPOINT ((5.96990252124314 44.7862524544091))",PYLONE__0000000309551776,27.2
"MULTIPOINT ((6.0000711955036 45.3793870300029))",PYLONE__0000000024802283,20.1
"MULTIPOINT ((5.7851385032537 45.0473546063863))",PYLONE__0000000269643517,22.8
"MULTIPOINT ((5.82986914611548 45.0821438083001))",PYLONE__0000000269643535,61.5
"MULTIPOINT ((6.07374646728657 45.0304550342684))",PYLONE__0000000269643555,16.2
"MULTIPOINT ((6.07034097687366 45.0731650598416))",PYLONE__0000000269643556,18.1
