WKT,geo_point_
"MULTILINESTRING ((5.45827085826227 45.2068687639925,5.45763826780257 45.2063567959752,5.45764462895664 45.2063038797817))","(2:45.2065954195,5.45793531722)"
"MULTILINESTRING ((5.29568414684665 45.0647537980475,5.29492250013268 45.0662948303638,5.29364006963396 45.0667866775834,5.29061478388637 45.0668689323245))","(2:45.0663971814,5.29350310826)"
"MULTILINESTRING ((5.30880954660122 45.0771587208524,5.30730995171449 45.0789890797678,5.3060943525988 45.0800735909152,5.30574698329201 45.0807524402038))","(2:45.07894782,5.30725207392)"
"MULTILINESTRING ((6.08018819847512 45.0294174865845,6.0798275015587 45.0293390471919,6.07835406649393 45.0295265889718))","(2:45.0294219597,6.07927332558)"
"MULTILINESTRING ((6.08438655368224 45.0408580627741,6.08391229651208 45.0403530049392))","(2:45.0406055339,6.0841494251)"
"MULTILINESTRING ((6.0703867168915 45.0296882281115,6.06839659564205 45.0295540876071,6.06600332358682 45.0317029183607))","(2:45.0302429198,6.06803887893)"
"MULTILINESTRING ((5.5535312714285 45.1670058180434,5.55252884692348 45.1626844123009))","(2:45.1648451152,5.55303005918)"
"MULTILINESTRING ((5.56174457482315 45.1852366307819,5.56043610851953 45.1838710821748))","(2:45.1845538565,5.56109034167)"
"MULTILINESTRING ((5.5622918447176 45.1859962416235,5.56455850381012 45.1895747136957))","(2:45.1877854777,5.56342517426)"
"MULTILINESTRING ((5.5622918447176 45.1859962416235,5.56210725489982 45.1860734281354))","(2:45.1860348349,5.56219954981)"
"MULTILINESTRING ((5.56552616033653 45.1911834361578,5.56756516888166 45.1944224355172))","(2:45.1928029358,5.56654566461)"
"MULTILINESTRING ((5.54846704012126 45.1769702657549,5.5479110058001 45.1777410927957))","(2:45.1773556793,5.54818902296)"
"MULTILINESTRING ((5.54672459586389 45.1811004522763,5.54725933626542 45.1818381182841))","(2:45.1814692853,5.54699196606)"
"MULTILINESTRING ((5.55855925194816 45.1739081066753,5.56020627684119 45.1741028485383))","(2:45.1740054776,5.55938276439)"
