WKT,id,nom,type
"MULTIPOINT ((5.9125 44.93305))",1765,Le Coiro,sommet
"MULTIPOINT ((5.54192 45.22975))",1269,Fontaine de Nave,point d'eau
"MULTIPOINT ((5.872 45.346))",1981,Lance Sud de Malissard,sommet
"MULTIPOINT ((5.838 44.758))",2054,Tète de Lapras,sommet
"MULTIPOINT ((5.92119 45.43922))",2780,Source du refuge de l'alpette,point d'eau
"MULTIPOINT ((6.144 45.154))",2088,Pic de l'Etendard,sommet
"MULTIPOINT ((5.509 44.844))",4153,Source Mazilier,point d'eau
"MULTIPOINT ((5.5016 44.8485))",4154,Fontaine du Diable,point d'eau
"MULTIPOINT ((5.9991 45.203))",2509,Ferrouillet pointe centrale sud,sommet
"MULTIPOINT ((5.5154 44.9698))",4155,Fontaine Gravianelle,point d'eau
"MULTIPOINT ((5.92664 45.41836))",3508,Croix de l'Alpe,sommet
"MULTIPOINT ((5.5348 44.77615))",3627,Croix du Lautaret,sommet
"MULTIPOINT ((5.55417 44.79444))",4024,Source de l'Essaure,point d'eau
"MULTIPOINT ((5.93726 45.42095))",4396,Captage du pré Orcel,point d'eau
"MULTIPOINT ((5.6247 44.7539))",3075,Mont-Barral,sommet
"MULTIPOINT ((5.80629 45.3231))",4178,Fontaine de St Hugues de Chartreuse,point d'eau
"MULTIPOINT ((5.73325 45.2184))",1977,Mont Rachais,sommet
"MULTIPOINT ((6.10487 45.3088))",4197,Source du 1er chalet de Tigneux,point d'eau
"MULTIPOINT ((6.1097 45.30795))",4196,Source du 2e chalet de Tigneux,point d'eau
"MULTIPOINT ((5.86055 45.10309))",2209,Fontaine de Boulac (Boulec),point d'eau
"MULTIPOINT ((5.55221557617188 44.8417893192688))",1237,Mont Aiguille,sommet
"MULTIPOINT ((6.08715 45.31893))",4198,Fontaine de La Ferrière,point d'eau
"MULTIPOINT ((5.46923 44.79352))",1215,Fontaine des Bachassons,point d'eau
"MULTIPOINT ((5.95937490463257 45.1716377369141))",1863,Grande Lance de Domène,sommet
"MULTIPOINT ((5.4567 45.1604))",2878,Source des Pigeons,point d'eau
"MULTIPOINT ((5.7881672 45.287689))",522,Chamechaude,sommet
"MULTIPOINT ((5.42018 45.09723))",1196,Fontaine de Pétouze,point d'eau
"MULTIPOINT ((5.54431 44.79437))",1214,Fontaine du Creuson,point d'eau
"MULTIPOINT ((5.4758 44.8677))",1192,Fontaine de Gerland,point d'eau
"MULTIPOINT ((5.61788 45.20791))",1181,Fontaine de Sornin,point d'eau
"MULTIPOINT ((5.519 44.8469))",1228,Fontaine du Pas des Bachassons,point d'eau
"MULTIPOINT ((5.47777 45.03972))",1657,Fontaine des Scialets Mistri,point d'eau
"MULTIPOINT ((5.5174 45.0246))",1750,Point d'eau du parking du Golf de Correncon,point d'eau
"MULTIPOINT ((5.60798 45.08143))",1770,Source du Berger,point d'eau
"MULTIPOINT ((5.6338 45.15))",1774,Source du Moucherotte,point d'eau
"MULTIPOINT ((5.969 45.2152))",3861,Captage-abreuvoir,point d'eau
"MULTIPOINT ((5.51 44.857))",1963,Fontaine de Bonnevau,point d'eau
"MULTIPOINT ((5.857 45.326))",1974,Source du Guiers,point d'eau
"MULTIPOINT ((5.43185 45.12971))",1970,Source de Bury,point d'eau
"MULTIPOINT ((6.1104 45.33297))",4521,Fontaine du Bout,point d'eau
"MULTIPOINT ((5.51139 44.80583))",3699,Source des Chaumailloux,point d'eau
"MULTIPOINT ((6.10889 45.31549))",4522,source du Léat,point d'eau
"MULTIPOINT ((5.91527938842773 45.0704974267402))",2365,Pont sur le Rioupéroux,point d'eau
"MULTIPOINT ((5.53271 45.22397))",2419,Fontaine des Sangliers,point d'eau
"MULTIPOINT ((5.58669 45.16987))",2422,Source de la Graille,point d'eau
"MULTIPOINT ((5.5339 45.19771))",2418,Fontaine de Font Renard,point d'eau
"MULTIPOINT ((5.59185 45.23133))",2421,Fontaine de la Sure,point d'eau
"MULTIPOINT ((5.551302 44.7732))",1964,Fontaine de Colombette,point d'eau
"MULTIPOINT ((5.588 45.0528))",2578,Fontaine de Roybon,point d'eau
"MULTIPOINT ((5.57903 45.0612))",2579,Fontaine Magdelen,point d'eau
"MULTIPOINT ((5.4671 45.1794))",2858,Fontaine de Racleterre,point d'eau
"MULTIPOINT ((5.69944 45.22806))",3000,Fontaine vierge,point d'eau
"MULTIPOINT ((5.83642 45.30247))",3280,Col du Coq à côté du telesiège,point d'eau
"MULTIPOINT ((5.45385 45.10479))",3668,Fontaine La Grand Font,point d'eau
"MULTIPOINT ((6.13862156867981 45.3242868783577))",6018,source mystérieuse du Vay,point d'eau
"MULTIPOINT ((5.93196 44.9322))",4582,Ruisseau de l'Infernet,point d'eau
"MULTIPOINT ((5.5093 44.9035))",1199,Deuxième fontaine du Play,point d'eau
"MULTIPOINT ((5.51835 45.20466))",3708,Fontaine du Rivet,point d'eau
"MULTIPOINT ((5.74767 45.11808))",4591,fontaine,point d'eau
"MULTIPOINT ((5.50639 44.9817))",1179,Fontaine de Carrette,point d'eau
"MULTIPOINT ((6.0286 44.9102))",2811,Fontaine Julliarde,point d'eau
"MULTIPOINT ((5.7188 44.9247))",1218,La fontaine du Raccord,point d'eau
"MULTIPOINT ((5.50894 44.87131))",1210,Fontaine des Serrons,point d'eau
"MULTIPOINT ((5.68966 45.31421))",1380,Source de Charminelle,point d'eau
"MULTIPOINT ((5.71287 45.3342))",1377,Abreuvoir de la Sure,point d'eau
"MULTIPOINT ((5.586 45.2505))",2666,Source de l'Echalance,point d'eau
"MULTIPOINT ((5.71771 45.34111))",4743,Abreuvoir de la Sure 2,point d'eau
"MULTIPOINT ((5.5605 44.9947))",3831,Fontaine Barnière,point d'eau
"MULTIPOINT ((5.47888 45.029444))",1656,Fontaine d'Herbouilly,point d'eau
"MULTIPOINT ((5.93141 45.19368))",1664,Source de Font du Clos,point d'eau
"MULTIPOINT ((6.0529 45.322))",2200,Source de la Bouine,point d'eau
"MULTIPOINT ((5.52996 44.87672))",1703,Fontaine du Veymont,point d'eau
