WKT,ID,NATURE,TOPONYME
"MULTIPOLYGON (((5.73594740059437 45.1927567017196,5.73544319485713 45.1932582789035,5.73560067301763 45.1933255956064,5.73569192171314 45.1933675064185,5.73560812091839 45.1934515473301,5.73577876774018 45.1935275506814,5.73609164094836 45.1932297736964,5.73636721324146 45.1929509293179,5.73594740059437 45.1927567017196)))",SURFACTI0000000007463706,Police,
"MULTIPOLYGON (((5.69819679396476 45.1400363572351,5.69819462075231 45.1399913631565,5.69813104665413 45.1399929012115,5.69813321981546 45.1400378952914,5.69819679396476 45.1400363572351)))",SURFACTI0000000220175698,Gendarmerie,Gendarmerie du Pont-de-Claix
"MULTIPOLYGON (((5.99489160193652 45.299149110086,5.99488918297868 45.2991041205705,5.99482543600122 45.2991058277338,5.99482785490767 45.2991508172507,5.99489160193652 45.299149110086)))",SURFACTI0000000007462578,Camping,
"MULTIPOLYGON (((5.98632195562193 45.2780506086898,5.98631954449529 45.2780056191732,5.98625582138123 45.278007321447,5.98625823245652 45.2780523109649,5.98632195562193 45.2780506086898)))",SURFACTI0000000007462636,Camping,les Sept Laux
"MULTIPOLYGON (((5.5384350656076 45.1704447278389,5.5389003416719 45.1713782644582,5.53936272293221 45.1709596452234,5.53955342067055 45.1711201665525,5.54013970210743 45.1706536802408,5.54010802141206 45.1706291767474,5.53998843805827 45.1705481169007,5.53985962173424 45.1704600600452,5.53972789288767 45.1703639614234,5.53966650365735 45.170302297017,5.53958603408661 45.1702131395514,5.53955464377572 45.1701670082002,5.53950704507336 45.170100525478,5.53947733985434 45.1700354372944,5.53945801734854 45.169974617223,5.53932885834901 45.1700189968684,5.53895594414935 45.1701923431076,5.53862201756776 45.1703548914487,5.53857342239081 45.1703785189245,5.5384350656076 45.1704447278389)))",SURFACTI0000000007462895,Camping,Camping le Vercors
"MULTIPOLYGON (((5.58556586843232 45.1181145641673,5.58595375137017 45.1179452102026,5.58613855385898 45.1178967801142,5.58686989357142 45.1182753017401,5.58721332333894 45.1184925539924,5.58752304541916 45.1182565409606,5.58780105124508 45.1180500915758,5.58791652879602 45.1179059719388,5.58788091892708 45.1178788710704,5.58779023776328 45.1178440396476,5.58748071046368 45.1176719475902,5.58686732885218 45.1173402418175,5.58682757354167 45.1173060297411,5.58681132153985 45.1172847855859,5.58659766704791 45.1171771321643,5.58651957309966 45.1171393050613,5.58650304980848 45.1171396884117,5.58646023146125 45.117121763217,5.58644504243572 45.1170959899254,5.58623576375482 45.1170278732851,5.58614297929076 45.1170300256771,5.58588983806995 45.1170313931676,5.58574825517485 45.117023866481,5.58571922989023 45.1170290441099,5.58567564048187 45.1170219471277,5.58562734171455 45.117023067318,5.58555255968564 45.1170293061171,5.58554224459556 45.1170538692427,5.58557490926774 45.1172098656952,5.58563361920461 45.1173787713713,5.58564623925813 45.1175415389068,5.58552737699671 45.1177776248547,5.58550541179192 45.1178529077359,5.58555295222273 45.118055405283,5.58556586843232 45.1181145641673)))",SURFACTI0000000007462973,Camping,Bois Sigu
"MULTIPOLYGON (((5.33825417965923 45.1212891742401,5.33799642773312 45.1213324127394,5.33726537684638 45.1217107609146,5.3381924765769 45.1223993507208,5.33824811106264 45.1223909776705,5.33829200288225 45.1223756444595,5.33832703347479 45.1223613978593,5.33837578436334 45.1223405579242,5.33859037453923 45.1222387711976,5.33872383853994 45.1221747176131,5.33876885066358 45.1221557575171,5.3388104632884 45.1221467774916,5.33885361081888 45.1221440708433,5.33889810493813 45.1221431375286,5.33891601558498 45.1221454642228,5.3389351598271 45.122146864239,5.33890754996443 45.1220951970879,5.3388889142927 45.1220451432836,5.33886119152639 45.1219907760973,5.33881798775478 45.1219313288415,5.33874038487828 45.1218708015022,5.33866510796612 45.1218354476805,5.3385847084767 45.1217993004513,5.33846997715993 45.1216116383023,5.33835509598541 45.1214203760103,5.33825417965923 45.1212891742401)))",SURFACTI0000000007462976,Camping,le Château de Beauvoir
"MULTIPOLYGON (((5.79961091646584 45.1007572520179,5.79962965031226 45.1007757016667,5.80021049115926 45.1023143728653,5.80124039094316 45.1021001894266,5.80181462572236 45.1019830444795,5.80227925946383 45.1019127997592,5.80279715789125 45.101864638658,5.80277275816938 45.1015048657674,5.80275701678065 45.1008610708326,5.8024364962135 45.1008114693479,5.80202427240315 45.1007596678187,5.8016695389321 45.1007127262876,5.80113962418423 45.1006224357344,5.80078917108555 45.1005339394578,5.8004701500611 45.1004887995548,5.80038824200462 45.1005043722445,5.80024388093897 45.100568364307,5.80014925896072 45.1006094832939,5.80002386516999 45.100671196561,5.79987388028954 45.1007245178428,5.79975285561818 45.1007464785725,5.79961091646584 45.1007572520179)))",SURFACTI0000000007462984,Camping,l'Imprévu
"MULTIPOLYGON (((5.29169771620895 45.1038807455592,5.29205868262626 45.1036571368284,5.29225623139657 45.1035738059827,5.29240913583796 45.1035184163008,5.29257517052496 45.1034420384364,5.29269429383575 45.1033693275614,5.29280299162422 45.1032905255508,5.29288905635356 45.1032491209351,5.29247300920816 45.1030288805888,5.29227123038337 45.102915929105,5.29179593419619 45.1026464612013,5.29128817090094 45.1023605440062,5.29052559540331 45.1019087134048,5.290403335718 45.1018427666159,5.28917096563516 45.1026526603125,5.29169771620895 45.1038807455592)))",SURFACTI0000000007463000,Camping,Lac du Marandan
"MULTIPOLYGON (((6.03744923634055 45.0658771638416,6.03912514731956 45.0664639854563,6.03927548204425 45.0662120919688,6.03964250345118 45.0656425182385,6.03967755960145 45.0655856958238,6.03987861854259 45.0652612333771,6.03993281206672 45.0651588355963,6.03996239622563 45.0650715264743,6.03995204398125 45.0650682048242,6.03898467799114 45.0643935836936,6.0388115826905 45.0644839074887,6.03854576191349 45.0646227149106,6.03823404306967 45.0648294520752,6.03804019740484 45.0650293686285,6.03780304360174 45.0653683279011,6.03757604025163 45.0656132998228,6.03744923634055 45.0658771638416)))",SURFACTI0000000007463005,Camping,À la Rencontre du Soleil
"MULTIPOLYGON (((5.55457892236996 44.896205195316,5.55457687372903 44.8961602015194,5.55451357198296 44.8961616576391,5.55451562057319 44.8962066514369,5.55457892236996 44.896205195316)))",SURFACTI0000000007463114,Camping,les Quatre Saisons
"MULTIPOLYGON (((5.55753823449938 45.0782615074593,5.56212132135233 45.076887781038,5.5620295977862 45.0764953106015,5.5613159258332 45.076542350336,5.56070583243186 45.0766023194615,5.56053784763245 45.0765989735981,5.56020791946396 45.0765020556209,5.55970176877651 45.0765551261512,5.55870728113936 45.0766338251369,5.55801987135858 45.0766991586651,5.5577942486903 45.0767421753689,5.55762675749432 45.0767496241666,5.55729663331727 45.0770932254129,5.55722469410623 45.0771327130775,5.55707835202581 45.0771856197084,5.55633296497216 45.0772901096939,5.55627412625318 45.0775049648549,5.55626774936788 45.0775879907831,5.55624378621012 45.0776200709046,5.55628146787296 45.077776857734,5.55631530817582 45.0779886854947,5.55629709859076 45.0781188279437,5.55627097009793 45.0781869923731,5.55638503707831 45.0781789698641,5.55645079708182 45.0781711548605,5.55653302791353 45.0781620609926,5.55662673122862 45.0781536046576,5.55669273800917 45.0781511890405,5.55674469082812 45.0781472941808,5.55678312452449 45.0781536190771,5.55679881366763 45.0781352417045,5.55682237056199 45.0781220889596,5.55686018183343 45.0780869882931,5.55690257993611 45.0780409719543,5.55694612468543 45.0779922266846,5.55696471899833 45.0779539635655,5.55753823449938 45.0782615074593)))",SURFACTI0000000007463014,Camping,l'Oursière
"MULTIPOLYGON (((6.1195167900372 44.9842555350615,6.11951428462903 44.9842105516583,6.11945089972131 44.9842123296928,6.11945340507867 44.9842573130975,6.1195167900372 44.9842555350615)))",SURFACTI0000000007463065,Camping,la Cascade
"MULTIPOLYGON (((5.77275330286371 44.9993915843464,5.77276296480316 44.9994841393051,5.77274292230743 44.9995666234632,5.77273258027004 44.9996398565472,5.77265353249134 44.9997616503644,5.77251608313457 45.000396627805,5.77236565426078 45.0009490429926,5.7722256671686 45.0016867894117,5.77283515016377 45.0018139474332,5.77306880370693 45.0014036058539,5.77332948250124 45.001231336629,5.77405060827491 45.0009719082602,5.7741565247649 45.000213386317,5.77384768397337 44.9995670117888,5.77362111754377 44.9993510319094,5.77345514434554 44.9992047144945,5.77275330286371 44.9993915843464)))",SURFACTI0000000007463071,Camping,le Pré du Lac
"MULTIPOLYGON (((5.78102758493834 44.9848710505104,5.78066693980245 44.985098993664,5.78085706996557 44.9852464970278,5.78115444772054 44.985636371208,5.78131951203833 44.9858926122475,5.78218226617917 44.9855755288188,5.78273668541804 44.985466160017,5.78254812394745 44.9849159046925,5.7825259404611 44.9846993355461,5.78252032490767 44.9845607328172,5.78244070750604 44.9844401982241,5.78231570470625 44.9844793626484,5.78226897093491 44.9844841354824,5.78215522177413 44.9844176094079,5.78192307335448 44.9846765776812,5.78171680613932 44.9848943562819,5.78157502291367 44.9849024069972,5.78114834970312 44.9848743372369,5.78106580112235 44.9848736986288,5.78102758493834 44.9848710505104)))",SURFACTI0000000007463077,Camping,les Mouettes
"MULTIPOLYGON (((6.28563593453331 44.9340607828054,6.28563329814478 44.9340158039001,6.28556997536775 44.934017676538,6.28557261170559 44.9340626554449,6.28563593453331 44.9340607828054)))",SURFACTI0000000007463087,Camping,la Bérarde
