WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((6.09641039483921 45.4245533966042))",PAIHABIT0000000034543914,Zone d'habitation,Lieu-dit habité,le pré d'arbon
"MULTIPOINT ((5.5917548239649 44.8405133316711))",PAIOROGR0000000007457108,Détail orographique,Rochers,rocher de goutaroux
"MULTIPOINT ((5.97818081432216 45.3473068159508))",PAIHABIT0000000217177500,Zone d'habitation,Quartier,le champ du bourg 2
"MULTIPOINT ((5.9586764145714 45.1267403360077))",PAIOROGR0000000007455150,Détail orographique,Pic,pic de la fare
"MULTIPOINT ((6.1874284462454 45.3534376913217))",PAIOROGR0000000012527361,Détail orographique,Sommet,petit crozet
"MULTIPOINT ((5.85436878545537 45.3092572425171))",PAIOROGR0000000007454334,Détail orographique,Escarpement,pas de l'œille
"MULTIPOINT ((6.10407575922066 45.3490098891005))",PAIE_NAT0000000319065962,Lieu-dit non habité,Lieu-dit non habité,crêt motin
"MULTIPOINT ((5.90858490942063 45.3473970117385))",PAIHABIT0000000007541854,Zone d'habitation,Lieu-dit habité,combet
"MULTIPOINT ((5.90858490942063 45.3473970117385))",PAIHABIT0000000007541854,Zone d'habitation,Lieu-dit habité,le combet
"MULTIPOINT ((5.82364272146272 45.2531247429087))",PAIHABIT0000000007544093,Zone d'habitation,Lieu-dit habité,le crêt de chaume
"MULTIPOINT ((6.16945467596259 45.0564060774858))",PAIOROGR0000000007455479,Détail orographique,Plaine,clot de lort
"MULTIPOINT ((5.83801216007204 44.9011377359931))",PAIE_NAT0000000320419366,Lieu-dit non habité,Lieu-dit non habité,les fromentaux
"MULTIPOINT ((5.74050932065085 44.9461251285514))",PAIOROGR0000000007456389,Détail orographique,Versant,côte belle
"MULTIPOINT ((5.63249872495919 45.243582305546))",PAIHABIT0000000007544433,Zone d'habitation,Lieu-dit habité,noyarey
"MULTIPOINT ((5.66237571763613 45.0787639869856))",PAIHABIT0000000007546814,Zone d'habitation,Lieu-dit habité,aux bauches
"MULTIPOINT ((5.81938082643482 45.4003061887329))",PAIE_NAT0000000007448821,Lieu-dit non habité,Bois,forêt des éparres
